"intAgent","intProjectID","intProjectNo","intProvID","strDescription","strLegal","intClientDept","intSecondDept","strFileNo","datStartDate","datComplDate","bolCancelled","curSSAFees","curSSADisbursements","intProjectType","intClientContactID","intLocationID","curPrice","curExpToDate"
31,11,766171,59,"SUBDIVISION OF SEAPLANE BASE","THAT PART OF LOT 443 SHOWN OUTLINED IN RED ON PLAN 1557R",23,0,"9075-T1/14",10/25/1994,7/31/1999,0,.0000,.0000,1,1,238,.0000,.0000
30,12,765946,59,"HAZARD BEACON SITE 'S3' EASEMENTS, LICENCE OF OCCUPANCY & R/W","",23,0,"550-N2/56-2",5/10/1996,12/5/1996,0,.0000,.0000,1,1,140,.0000,.0000
30,13,766600,59,"ROAD EXCHANGE AT ALDERGROVE BORDR CROSSING","PCL.'S A&B PLAN 81856; PCL. I PLAN 66500",5,0,"9075-A4/6",5/17/1996,4/30/1999,0,.0000,.0000,1,1,9,.0000,.0000
30,14,699689,59,"RIGHT OF WAY FOR NAVIGATION LIGHT AT GOWLLAND POINT","LOT C, SEC. 1, PENDER ISLAND, COWICHAN DISTRICT, PLAN 16049",4,0,"5400-G45/1",5/17/1996,9/30/1996,0,.0000,.0000,1,1,171,2000.0000,.0000
30,15,0,59,"NANAIMO A/P HAZARD BEACON 'SE1'","BLOCK 567, OYSTER DISTRICT",23,0,"5500-N2/56-1",6/11/1996,12/5/1996,0,.0000,.0000,1,1,140,.0000,.0000
17,16,766613,59,"SIMPSON ROAD EXCHANGE","DL 15 BRIGHT DISTRICT",23,0,"9075-N2/60",6/11/1996,12/16/1996,0,.0000,.0000,1,1,140,.0000,.0000
30,17,0,59,"AIRPORT HAZARD BEACON 'S2'","PLAN 797 R/W BRIGHT DISTRICT",23,0,"5500-N2/56-3",6/11/1996,6/11/1996,0,.0000,.0000,1,1,140,.0000,.0000
13,18,699666,59,"Land Exchange with CN","",9,0,"9075-N8/61",12/11/1991,,0,.0000,.0000,1,1,237,.0000,.0000
30,19,0,59,"LICENCE OF OCCUPATION FOR MT. DUFFERIN TRANSMITTER","DUFFERIN HILL, KAMLOOPS, B.C.",7,0,"5400-K1/89",7/16/1996,6/30/1997,0,.0000,.0000,1,1,110,.0000,.0000
30,20,766488,59,"394 BLAINE SHAW CRES., SANDSPIT","LOT 1, D.L. 161, Q.C.D., PLAN 12416",15,0,"5400-S4-32",9/4/1996,4/16/1997,0,.0000,.0000,1,1,207,.0000,.0000
29,21,766649,59,"ESPERANZA RADIO REPEATER SITE - SPECIAL USE PERMIT NO. 17832","",4,0,"5400-C2/52",9/9/1996,1/27/1997,0,.0000,.0000,1,1,34,.0000,.0000
30,22,766665,59,"ACUQISITION OF HOUSE AT 4368 MARGARET AVE.","LOT 2 PLAN PGP39337, LOT 289, CARIBOO DISTRICT. PID# 023-213-841",15,0,"5400-W3/4",9/1/1996,12/27/1996,0,.0000,.0000,1,1,283,93972.0000,.0000
31,23,845817,59,"LAND ACQUISITION - MISSION INSTITUTION","E1/2 OF NW1/4",3,0,"5400-F26/1",6/12/1996,3/31/1902,0,.0000,.0000,1,1,137,.0000,.0000
17,24,766652,59,"1092 MAQUINNA - DETACHMENT CURRENTLY UNDER LEASE","LOT 1, DL 2137, RD, PLAN 27802",15,0,"5400-P8/6",8/27/1996,4/30/1997,0,.0000,.0000,1,1,176,.0000,.0000
17,25,766679,59,"ACQUIRE SITE FOR NEW NORTHERN DISTRICT RCMP BUILDING","LOT 45, DISTRICT LOT 2610, CARIBOO DISTRICT, PLAN 16510",15,0,"5400-P16/110",10/1/1996,11/17/1997,0,.0000,.0000,1,1,184,250000.0000,.0000
30,26,766681,59,"HAZARD BEACONS SE & SW NEAR CRANBROOK AIRPORT","",23,0,"5400-C22/35",10/17/1996,3/7/1997,0,.0000,.0000,1,1,51,.0000,.0000
30,27,766489,59,"471 QUEENSWAY AVENUE, KELOWNA","LOTS 7-12, BL 16, PL 462, DL 139, O.D.Y.D.",14,0,"5400-K3/3",10/29/1996,7/24/1997,0,.0000,.0000,1,1,113,.0000,.0000
30,28,0,59,"LEASE FOR ROAD- AIRPORT","STEEL GANGWAY 1,3 M X 14,2 M",23,0,"5400-P17-89",12/6/1996,5/9/1997,0,.0000,.0000,1,1,185,.0000,.0000
17,29,766749,59,"ACQUIRE TWO RESIDENCES - 92 & 94 MORRISON STREET","LOT 73 AND LOT 74, DL 1246, RGE.5, COAST DISTRICT, PLAN 7145",15,0,"5400-G8/4",1/23/1997,5/9/1997,0,.0000,.0000,1,1,96,.0000,.0000
29,30,699200,59,"TAC OVER D.L. 7843, GROUP 1, N.W.D.","Public Pontoon Facility containing an area of 0.417 HA",16,0,"5400-F18/2",4/1/1998,,0,.0000,.0000,1,1,75,.0000,.0000
29,31,699200,0,"CONSULT, ADVICE AND RESEARCH AS REQUIRED","",16,0,"6000-6(B)",4/1/1998,,0,.0000,.0000,1,1,259,.0000,.0000
29,32,699200,59,"TAC OVER DL 5027 AND 6239","SQUAMISH YACHT CLUB TO TAKE OVER BOAT RAMP",16,0,"9050-S19/17",9/11/1987,,0,.0000,.0000,1,1,228,.0000,.0000
29,33,699200,59,"LOT 156 - UPGRADE TO FEE SIMPLE TITLE","UPGRADE ABSOLUTE FEE TO FEE SIMPLE TITLE",16,0,"5400-S31/2",1/26/1994,,0,.0000,.0000,1,1,214,.0000,.0000
30,34,699442,59,"ENCROACHMENT AND ACCESS OVER CN PROPERTY  AT MILE 85.94","WATERFRONT BLOCK B,DL 1992,RANGE 5,COAST DISTRICT, PLAN 923",16,0,"5400-P27/13",2/27/1997,12/31/1997,0,.0000,.0000,1,1,178,.0000,.0000
31,35,700764,59,"EXTENSION TO WATERLOT 254,  DL 693 & 694","Together with Improvements",16,0,"5400-W36/3",2/27/1997,,0,.0000,.0000,1,1,286,.0000,.0000
30,36,699368,59,"WATERLOT FOR MOORING BUOYS","VICINITY OF DL 2915, DL 3054 AND DL 3073, QUEEN CHARLOTTE DISTRICT",16,0,"5400-Q11/5",2/27/1997,3/31/1999,0,.0000,.0000,1,1,101,.0000,.0000
17,37,766771,59,"1008-2ND AVE, DUPLEX - THIRD PARTY & PARKS AS TENANTS","LOT 1, BLOCK 34, DISTRICT LOT 16, QUEEN CHARLOTTE CITY, PLAN 934",13,0,"5400-Q2/32",3/5/1997,6/13/1997,0,.0000,.0000,1,1,193,177000.0000,.0000
31,38,699434,59,"ACQUISITION OF TENURE - COMPENSATION BENCH - D.L. 2004","",16,0,"5400-C18/51",,,0,.0000,.0000,1,1,43,.0000,.0000
31,39,699201,59,"SOINTULA - TAC OVER D.L. 2108","D.L. 2108",16,0,"5400-S15/9",,,0,.0000,.0000,1,1,222,.0000,.0000
20,40,699746,59,"ACQUISITION OF PWGSC 7TH AVE. WHARF","",16,0,"",,3/31/1998,0,.0000,.0000,1,1,198,.0000,.0000
20,41,699661,59,"RIVERSONG INN LIMITED - DRAFT TB SUBMISSION","",16,0,"",,3/31/1998,0,.0000,.0000,1,1,198,.0000,.0000
20,42,766806,59,"ACQUISTION ROW TO DISCOVERY HARBOUR","",16,0,"",5/5/1997,3/31/1998,0,.0000,.0000,1,1,34,.0000,.0000
20,43,699367,0,"DIRECTORY OF FEDERAL REAL PROPERTY","",16,0,"",4/1/1996,3/31/1997,0,.0000,.0000,1,1,259,.0000,.0000
20,44,699682,0,"STAFF - DIVESTITURE PROGRAM (T. DUFFY)","",16,0,"",4/1/1996,3/31/1997,0,.0000,.0000,1,1,259,.0000,.0000
20,45,699686,0,"DIVESTITURE (DISBURSEMENTS INCL. T. DUFFY)","",16,0,"",4/1/1996,3/31/1997,0,.0000,.0000,1,1,259,.0000,.0000
20,46,699751,59,"INVESTIGATION INQUIRY","",16,0,"",1/1/1997,3/31/1997,0,.0000,.0000,1,1,14,.0000,.0000
31,47,766793,59,"ACQUIRE 1 LOT FOR LEVEL 2 DETACHMENT DESIGN","",15,0,"5400-G6/9",,10/28/1997,0,.0000,.0000,1,1,93,.0000,.0000
31,48,766805,59,"ADDITION TO RESERVE KITAMAAT INDIAN RESERVE NO.2","PARTS BLK.B & C OF DL305; PART DL305 EXC.PL.PRP13653; RG.4,COAST DIST.",22,0,"5400-K7/49",5/7/1997,7/5/1999,0,.0000,.0000,1,1,119,326000.0000,.0000
27,49,766995,59,"INLAND VANC.ISLAND HWY/BIG QUALICUM HATCHERY","NO LEGAL FOR LAND EXCHANGE AT THIS TIME.",24,0,"9075-B40/3",7/23/1997,,0,.0000,.0000,1,1,28,.0000,.0000
27,50,766784,59,"GAS PIPELINE AGREEMENT","THAT PART OF DL 254, ALBERNI DISTRICT IN RED ON PLAN 1753R.",24,0,"5400-Q8/8",8/1/1996,,0,.0000,.0000,1,1,28,.0000,.0000
27,51,766796,59,"SALMONID HATCHERY","DL 1872, BLOCK C, SECTION 33, TOWNSHIP 1, RANGE 28",17,0,"5400-C10/10",9/16/1997,,0,.0000,.0000,1,1,38,.0000,.0000
27,52,766995,0,"REALTY CONSULTING SERVICES","",24,0,"",4/1/1997,,0,.0000,.0000,1,1,259,.0000,.0000
27,53,766784,59,"SPAWNING CHANNEL","CAYOOSE CREEK INDIAN RESERVE NO. 1",17,0,"",4/1/1997,,0,.0000,.0000,1,1,123,.0000,.0000
27,54,766784,59,"LEGAL SURVEY AND TENURE","PART OF WEST 1/2 OF SECTION 3, TOWNSHIP 1, RUPERT DISTRICT",17,0,"5400-P11/79",5/13/1997,,0,.0000,.0000,1,1,158,.0000,.0000
31,55,0,59,"NEGOTIATE WITH PROVINCE RE TENURE OF DL 2004 & OYSTER LICENSE AREA","D.L. 2004; A, B & C OF LOT 203 & 468 & OYSTER LICENSE AREA",16,0,"5505-6-C18/501",2/14/1985,,0,.0000,.0000,1,1,43,.0000,.0000
28,56,834281,59,"ENCROACHMENT AGREEMENTS FOR PROPOSED CAFE ADDITION-CORDOVA STREET RAMP","PART OF AIR SPACE PCL.1, D.L.541, & PUBLIC HRBR, AIR SPACE PL.LMP23976",14,0,"5400-V3/187-3",6/18/1997,5/31/1900,0,.0000,.0000,1,1,255,.0000,.0000
20,57,766804,59,"CITY OF RICHMOND STEVESTON WATERFRONT STUDY (OCP)","",16,0,"6050-S20/21-6",5/8/1997,3/31/1998,0,.0000,.0000,1,1,198,.0000,.0000
20,58,766853,59,"MARINER'S SELF STORAGE, GULF SITE, STEVESTON","",16,0,"",3/7/1997,3/31/1998,0,.0000,.0000,1,1,198,.0000,.0000
29,59,766854,0,"BULK SSA FOR MISC. WORK REQUESTED BY A.HOLLIDAY","",16,0,"",4/1/1997,3/31/1998,0,.0000,.0000,1,1,259,.0000,.0000
29,60,848901,59,"TAC OVER IOS FACILITY","PORTION OF LOT 549, COWICHAN DISTRICT",24,0,"5400 - P22/9",5/16/1997,,0,.0000,.0000,1,1,167,.0000,.0000
28,61,766858,59,"TO RENEW LICENSE UNTIL TAC FROM THE PROVINCE IS COMPLETE.","UNSURVEYED PORTION OF SECTION 19-TWP 20, RUPERT DISTRICT",23,0,"5400-P11/60",4/1/1983,,0,.0000,.0000,1,1,179,.0000,.0000
30,62,766870,59,"3023 MCLEOD STREET","LOTS 21 AND 22BLOCK 148 SEC 2 DL 882 CASSIAR DISTRICT PLAN 968",15,0,"5400 N 6/11",7/10/1997,9/30/1997,0,.0000,.0000,1,1,154,95000.0000,.0000
30,63,766801,59,"RESIDENTIAL BUILDING LOTS","LOTS 11 AND 12BLOCK 127 SEC 2 DL 882 CASSIAR DISTRICT PLAN 968",15,0,"5400 - N4/12",3/18/1997,1/23/1998,0,.0000,.0000,1,1,154,7600.0000,.0000
28,64,766878,59,"EASEMENT IN FAVOUR OF LEGION","",15,0,"5400-G3/10",9/3/1997,7/7/1900,0,.0000,.0000,1,1,86,.0000,.0000
31,65,766886,59,"TAC OVER LOT 469, COWICHAN BAY","LOT 469, COWICHAN BAY",16,0,"5400-T26/2",8/20/1997,,0,.0000,.0000,1,1,251,.0000,.0000
20,66,834272,59,"PWGSC STEVESTON WATERFRONT OCP","",14,0,"6050-S20/21-6",5/8/1997,3/31/1998,0,.0000,.0000,1,1,198,.0000,.0000
20,67,834267,0,"BULK IAR/ ACCOMMODATION PROJECTS","",14,0,"",4/16/1997,3/31/1998,0,.0000,.0000,1,1,259,.0000,.0000
20,68,766877,0,"REVENUE CANADA CLIENT INVESTMENT PLAN","B.C. & YUKON",14,0,"",9/2/1997,3/31/1901,0,.0000,.0000,1,1,259,.0000,.0000
29,69,699200,59,"TAC OVER REMAINDER OF LOT 474 (PLUS ADDITION)","Extension to waterlot included in application - totalling 1.85 ha",16,0,"5400-G3/12",10/21/1997,,0,.0000,.0000,1,1,86,.0000,.0000
13,70,766930,59,"ACQUSITION OF DFO BUILDING IN TERRACE","",14,0,"",12/22/1997,3/31/1998,0,.0000,.0000,1,1,242,.0000,.0000
13,71,766931,59,"ACQUIRE RESIDENTIAL LOT","",15,0,"5400-K2/7",12/3/1997,10/22/1998,0,.0000,.0000,1,1,111,.0000,.0000
30,72,766942,59,"LOT B, DISTRICT LOT 1, TEXADA IS. DISTRICT PLAN LMP33249","",15,0,"5400-T16/5",12/19/1997,1/30/1998,0,.0000,.0000,1,1,245,.0000,.0000
30,73,651713,59,"KENT INSTITUTION ACQUISITION OF RIGHT OF WAY","",14,0,"5400 - A2/23",2/25/1998,3/31/1999,0,.0000,.0000,1,1,5,.0000,.0000
30,74,766909,59,"4523-13TH AVENUE NEW HAZELTON","LOT 2 DL 882 CASSIAR DISTRICT PLAN9916",15,0,"5400-N6/13",11/20/1997,2/25/1998,0,.0000,.0000,1,1,154,160000.0000,.0000
29,75,840138,59,"APPLICATION FOR TRANSFER OF ADMIN AND CONTROL OVER VARIOUS WATERLOTS","BLOCK B OF D.L.'S 1400 AND 1940, R3 COAST DISTRICT",16,0,"5400-B4/34",4/1/1998,8/31/1999,0,.0000,.0000,1,1,25,.0000,.0000
30,76,766986,59,"LOTS 14 AND 15 TATCHO STREET","LOTS 14 AND 15, DL 2368, CASSIAR DISTRICT, PLAN 10334",15,0,"5400-D7/9",3/16/1998,4/1/1998,0,.0000,.0000,1,1,55,114000.0000,.0000
29,77,847730,59,"Transfer of Administration and Control over unsurveyed crown land","PCL 2 AND 3, DL 9757, KOOTENAY DISTRICT",5,0,"5400-N21/6",6/10/1998,,0,.0000,.0000,1,1,150,.0000,.0000
29,78,840139,60,"LAND EXCHANGE BETWEEN RCMP AND YTG FOR EQUAL VACANT LOTS","LOTS 23/24, BLK 36 TO RCMP & LOT 2, BLK 23 & LOT 8, BLK 22 TO YTG",15,0,"9075-W1/31",6/15/1998,9/17/1900,0,.0000,.0000,1,1,276,.0000,.0000
29,79,841005,59,"TAC OVER UNSURVEYED CROWN LAND (NURSE'S STATION)","NW VICINITY OF DISTRICT LOT 1036, LILLOOET DISTRICT",11,0,"5400-N42/1",1/25/1999,,0,.0000,.0000,1,1,152,.0000,.0000
29,80,699200,59,"TAC OVER WATERLOT 218, COWICHAN DISTRICT","SECTION 16 MAP RESERVE",16,0,"5400-C78/7",4/1/1998,,0,.0000,.0000,1,1,50,.0000,.0000
29,81,699200,59,"TAC OVER WATERLOT 252, NANAIMO DISTRICT","FORESHORE AND FILL",16,0,"5400-C116",4/1/1998,,0,.0000,.0000,1,1,45,.0000,.0000
29,82,699200,59,"TAC OVER WATERLOT 384, COWICHAN DISTRICT","0.1279 Hectares",16,0,"5400-B67/1",4/1/1998,,0,.0000,.0000,1,1,31,.0000,.0000
29,83,840055,59,"TRANSFER OF ADMINISTRATION AND CONTROL OVER WATERLOT","LOT 5798",16,0,"5400-S51/5",4/1/1998,1/29/1999,0,.0000,.0000,1,1,212,.0000,.0000
29,84,699200,59,"TAC OVER WATERLOT 6374 EXCEPT BLK A","",16,0,"5400-P52/4",4/1/1998,,0,.0000,.0000,1,1,175,.0000,.0000
29,85,699200,59,"TAC OVER WATERLOT #1441 PLUS EXTENSION","Application includes extension to east, together with improvements.",16,0,"5400-H40/2",4/1/1998,,0,.0000,.0000,1,1,102,.0000,.0000
29,86,840052,59,"TAC OVER DL 2001, NANAIMO DISTRICT","Proposed amendment to filled foreshore reserve",16,0,"5400-D24/3",4/1/1998,,0,.0000,.0000,1,1,58,.0000,.0000
29,87,840051,59,"ACQUISITION OF PART OF DL  43","WHARF APPROACH TO IMPROVE ACCESS",16,0,"5400-F33/2",4/1/1998,,0,.0000,.0000,1,1,71,.0000,.0000
29,88,699200,59,"TAC OVER WATERLOTS 394 (TC) AND 399 (SCH)","TC (0.31 Acres); SCHB (0.56 Acres)",16,0,"5400-F37/2",4/1/1998,,0,.0000,.0000,1,1,84,.0000,.0000
29,89,699200,59,"TAC OVER WATERLOT 347 COWICHAN DISTRICT","TOGETHER WITH IMPROVEMENTS",16,0,"5400-M39/1",4/1/1998,,0,.0000,.0000,1,1,138,.0000,.0000
29,90,699200,59,"TAC OVER WATERLOT 6695 INCL. EXTENSION AND 6343, Gp. 1, NWD","",16,0,"5400-L30-5",4/1/1998,,0,.0000,.0000,1,1,124,.0000,.0000
29,91,699200,59,"TAC OVER WATERLOT 241, COWICHAN DISTRICT","",16,0,"5400-V11/4",4/1/1998,,0,.0000,.0000,1,1,269,.0000,.0000
31,92,840066,59,"SECURE STATUTORY RIGHTS-OF-WAY FOR SEWER & STORM FROM RCMP PROPERTY","LOT 45, D.L. 2610, CARIBOO DISTRICT, PLAN 16510",15,0,"5400-P16/115",7/2/1998,,0,.0000,.0000,1,1,184,.0000,.0000
31,93,840049,59,"ACQUIRE TAC OVER LOT 239","LOT 239, RUPERT DISTRICT",16,0,"5400-A5/32",7/6/1998,,0,.0000,.0000,1,1,11,.0000,.0000
31,94,840048,59,"ENSURE SCH HAS LEGAL ACCESS TO SCHB SITE AND NEWLY ACQUIRED TC SITE","LOT 1646",16,0,"",7/6/1998,,0,.0000,.0000,1,1,181,.0000,.0000
31,95,840033,59,"TO OBTAIN TENURE OVER LOT 2280","LOT 2280, PORT HARDY",16,0,"",7/6/1998,,0,.0000,.0000,1,1,179,.0000,.0000
31,96,840032,59,"TAC FOR LOT 2119, 2078.","LOT 2078, 2119",16,0,"",7/6/1998,,0,.0000,.0000,1,1,179,.0000,.0000
31,97,840031,59,"ACQ. OF TENURE OVER LOT 2119","LOT 2119",16,0,"",7/6/1998,5/28/1999,0,.0000,.0000,1,1,179,.0000,.0000
31,98,840034,59,"TO OBTAIN TENURE FOR NAVIGATIONAL CHANNEL - LOT 46","LOT 469, COWICHAN DISTRICT",16,0,"",7/6/1998,12/4/1901,0,.0000,.0000,1,1,251,.0000,.0000
29,99,699200,59,"TAC OVER LOT 348, COWICHAN DISTRICT","Map reserve no. 052522 effective July 25, 2000 for breakwater & wharf",16,0,"5400-W36/3",4/1/1998,,0,.0000,.0000,1,1,86,.0000,.0000
28,100,845352,59,"Get TAC over Block B, D.L. 602, Chemainus District","BLOCK B, D.L. 602, CHEMAINUS DISTRICT",16,0,"9050-C24/4",8/1/1998,,0,.0000,.0000,1,1,52,.0000,.0000
28,101,845499,59,"APPLICATION FOR TAC OVER FLOAT AND APPROACH","BLOCK C OF DISTRICT  LOTS 1160 AND 1570, R3, COAST DISTRICT",16,0,"9050-O1/5",10/28/1998,,0,.0000,.0000,1,1,161,.0000,.0000
29,102,845585,59,"LICENSE AGREEMENT OVER BLOCK C OF LOT 1479, SAYWARD DISTRICT","IN FAVOUR OF DISTRICT OF CAMPBELL RIVER",16,0,"5400-C2/26",12/16/1998,,0,.0000,.0000,1,1,34,.0000,.0000
29,103,845678,59,"ACQUISITION OF LOT FROM PROVINCE","District Lot 7259, Cassiar District",15,0,"5400-T15/9",1/15/1999,12/8/1900,0,.0000,.0000,1,1,240,13500.0000,.0000
30,104,0,59,"ACQUISITION OF BUILDING LOT","LOT 1 DL 208 KOOTENAY DISTRICT PLAN 10182",15,0,"5400 - K2/8",1/20/1999,6/1/1999,0,.0000,.0000,1,1,111,33500.0000,.0000
32,105,845701,60,"2 LOTS  6TH AVENUE/HANSON, DAWSON","LOTS 4 AND 5, BLOCK D, MENZIES EDITION",15,0,"",1/27/1999,,0,.0000,.0000,1,1,53,.0000,.0000
32,106,845702,60,"HOUSE AND ACREAGE/SAWDUST ROAD","LOT 1, BLOCK 26, PLAN 51079, TESLIN, YUKON",15,0,"5400 T5-17",1/26/1999,3/31/1999,0,.0000,.0000,1,1,243,157550.0000,.0000
29,107,0,59,"ACQUISITION OF TENURE OVER DL 2115, CLAYOQUOT DISTRICT","",16,0,"5400-T6/2-3/J3",,3/31/1999,0,.0000,.0000,1,1,247,.0000,.0000
30,108,845713,59,"18 AND 19 TATCHO ST.","LOT 18 AND 19 DL 2368 CASSIAR DISTRICT PLAN 10334",15,0,"5400-D7/10",2/1/1999,9/15/1999,0,.0000,.0000,1,1,55,.0000,.0000
31,109,840157,59,"TAC over Lot 1689 -  EXTENSION TO WATERLOT","",16,0,"5400-W33/2",4/1/1998,,0,.0000,.0000,1,1,291,.0000,.0000
30,110,840105,59,"TRANSFER OF ADMIN AND CONTROL","ADDITION TO LOTS 5792 AND 5794",16,0,"5515-W16/501",4/1/1998,6/29/1999,0,.0000,.0000,1,1,288,.0000,.0000
28,111,0,59,"GRANTING EASEMENT TO CANADIAN LEGION, PREVIOUS OWNER OF DETCHMENT SITE","PART OF LOT 1, SEC. 4, R3 EAST, N.SALT SPRING ISLAND, COWICHAN DISTRIC",15,0,"5400-G3/10",4/1/1999,5/19/1900,0,.0000,.0000,1,1,86,.0000,.0000
31,112,846228,59,"ACQUISITION OF RCMP RESIDENCE IN BELLA COOLA","PID 001-353-349, Lot 1, Section 9, Township 4, Range 3, CD Plan 42212",15,0,"5400-B4/35",5/17/1999,9/15/1999,0,.0000,.0000,1,1,25,173000.0000,.0000
31,113,846290,59,"ACQUISITION OF RCMP RESIDENCE - BOWEN ISLAND","",15,0,"5400-B12/8",5/20/1999,6/29/1999,0,.0000,.0000,1,1,30,.0000,.0000
30,114,846358,59,"SUMMERLAND RESEARCH STATION SEWER EASEMENTS","",2,0,"5400 - S22/22",6/1/1999,10/1/1999,0,.0000,.0000,1,1,235,.0000,.0000
29,115,846102,59,"ACQUISITION OF DETACHMENT SITE ON PARADISE ROAD","Subdivision of Lot 10, Plan 5217, D.L. 497, K.D.Y.D. (Proposed Lot 2)",15,0,"5400-S11/8",5/1/1999,3/30/1901,0,.0000,.0000,1,1,215,295000.0000,.0000
31,116,846290,59,"ACQUIS. OF RCMP RESIDENCE - 1340 EAGLECLIFF, BOWEN ISLAND","LOT 15, BLOCK 1 OF BLOCK A DL 1553, PLAN 4042",15,0,"5400-B12/8",5/25/1999,6/29/1999,0,.0000,.0000,1,1,30,274500.0000,.0000
29,117,699200,59,"SECTION 16 MAP RESERVE APPLICATION","METES AND BOUNDS (BORDERING LOT 275, SAYWARD DISTRICT)",16,0,"5400-K8/4",7/1/1999,,0,.0000,.0000,1,1,115,.0000,.0000
32,118,846653,59,"Acquisition and set up of a mobile home for Fisheries and Oceans","n/a",24,0,"",6/25/1999,,0,.0000,.0000,1,1,213,21000.0000,.0000
32,119,846655,59,"Acquire a temporary office for the fisheries site","",24,0,"",8/23/1999,,0,.0000,.0000,1,1,24,.0000,.0000
13,120,846433,59,"Misc. requests from FTNO.","",10,0,"",,,0,.0000,.0000,1,1,259,.0000,.0000
13,121,846546,59,"Archaeological Study of Campbell Heights Property","",29,0,"",,8/7/2000,0,.0000,.0000,1,1,237,.0000,.0000
20,122,846570,59,"Acquire ROW for access and utilities;  Register lease in LTO","",16,0,"5400-C2/53",4/5/1999,11/22/1900,0,.0000,.0000,1,1,34,.0000,.0000
13,123,0,59,"Portion of Prevost Island","Section 13, Prevost Island, Cowichan District",13,0,"",2/4/1900,5/18/1901,0,.0000,.0000,1,1,98,.0000,.0000
13,124,847159,0,"Accrual Accounting Input","",14,0,"",,3/31/2000,0,.0000,.0000,1,1,259,.0000,.0000
29,125,847701,59,"Weyerhauser property transfer to DFO","Lot 17, Lot 18, DL 1939, Block B DL 1941, DL 1942, DL 1944",24,0,"5400 - A40/2",,,0,.0000,.0000,1,1,18,1.0000,.0000
29,126,847508,59,"Acquire upland portion for parking (1,160 m2)","Subject area requires subdivision",16,0,"5400-K8/5",4/3/1900,,0,.0000,.0000,1,1,115,.0000,.0000
29,127,847756,59,"2220 Harbour Road","LOT 1, SECTION 15, R3E, NSD and of D.L. 533, Cowichan Dist, Plan 57629",13,0,"5400-S12_30",5/8/1900,3/30/1901,0,.0000,.0000,1,1,217,780000.0000,.0000
34,128,0,59,"Huron Street - Land Exchange  between TC and DND","",23,6,"5400-V7/269",,,0,.0000,.0000,1,1,270,.0000,.0000
33,129,,59,"1,950 SQ. FT. LAND AQUISITION","Lot 340 & Lot 344, Gp. 1, NWD, Plan LMP44516",23,0,"",,,0,.0000,.0000,1,1,177,.0000,.0000
28,130,847746,59,"TO ACQUIRE EASEMENT FROM NEIGHBOUR FOR ACCESS PURPOSES.","PARCEL A  OF THE FRACTIONAL SOUTH 1/2 OF THE S W1/4 OF SW1/4 OF SEC15",4,0,"",12/1/1900,,0,.0000,.0000,1,1,126,.0000,.0000
