"intStatusID","intProjectID","memStatus","datUpdate"
89,14,"cheque and copy of documents sent to Emelie Tramm via  registered mail  - State of Title Certificate and copy of documents sent to Terry  Weber/CCG  ****************Project Complete*****************************","10/28/1996"
90,15,"Airport has been transferred to  Commission- PROJECT CLOSED-  ","12/5/1996"
92,16,"MOTH did not publish notice of closure   & provide OIC subject to    ","11/19/1996"
95,16,"Project cancelled - Transfer to A/P  Authority 12/2/96 without road exchange completed.","12/16/1996"
96,17,"licenses executed and assigned to  Nanaimo Airport Commission- waiting for bill from  CP for admo=inistrative costs before closing file    ","2/20/1997"
98,17,"final bill of $150 received from CP and  paid  ********************PROJECT  CLOSED******************************* ","4/28/1997"
100,17,"WAITING FOR ADMIN FEES INVOICE FROM CP  ","3/27/1997"
102,18,"Env. Serv. hired.  FTNO notified.   Letter to DOJ.    ","6/13/1996"
103,18,"Waiting for Gibbs to finish agreement.    ","4/25/1997"
107,18,"Waiting for Gibbs to finish  agreement.... ","4/6/1999"
108,18,"Talked to Tom  Wade - He will talk with his environmental person   (Larry) about finaliziing this. ","9/13/1999"
111,19,"Environment Canada determining whether or not theey want  to continue this license past June 30, 1997      ","5/6/1997"
112,19,"Environment Canada administering licenses themselves- program under review for this site","9/30/1997"
114,20,"telecon wit Paul McIntosh, new constable in Sandspit- he  will inform me about utilities in February   ","10/21/1996"
116,20,"TIS at DOJ - Anne Doyle solicitor on transaction-   ","10/8/1996"
118,20,"cheques requisitioned for closing of transaction  ************ACquisition Complete - Project Closed**************","3/7/1997"
119,21,"Prepared SSA documents for Dal's review.    ","9/11/1996"
123,21,"AWAITING SIGNED SSA FROM CCG.    ","9/18/1996"
124,21,"DFO/Coast Guard made decision to obtain Specual Use  Permit themselves and therefore no longer require our services.   Project cancelled.   ","1/27/1997"
125,22,"deal closed waiting for bill from DOJ  for registration fees   ","1/6/1997"
126,22,"bill rec'd PROJECT CLOSED      ","2/18/1997"
130,22,"Project Complete. ","4/17/1997"
131,23,"File to LS to prepare letter.    ","9/26/1996"
134,23,"Reply received from Dist. of Mission  97/05/20 ref our subdiv. applic.  Notified client   - need sketch/topographical plan.    ","5/23/1997"
144,23,"Applications in with Mission and ALR.    ","2/24/1997"
147,23,"Dist. need draft plans for subdivision  approval.  Forwarded inform. to Mission.  Waiting   for go ahead.  Funding is an issue.    ","7/30/1997"
148,23,"Dist. need draft plans for subdivision  approval.  Forwarded info. to client. Waiting for   go ahead. Funding is an issue. Followed up  97-09-04.    ","9/30/1997"
149,23,"Project on hold indefinitely.  Client   does not have funds.    ","6/11/1998"
150,23,"Preliminary estimate to be given to  CSC re acquiring land instead of exchange.    ","8/21/1998"
151,23,"Preliminary estimate mailed on  98-08-31 to CSC re acquisition.    ","8/31/1998"
152,23,"Homeowner reviewing alternatives.  To   contact me Jan. 99    ","12/22/1998"
153,23,"Homeowner willing to do land exchange.   Approached CSC - can't do.    ","1/19/1999"
154,23,"Advised homeowner can not do land  exchange.  Will advise me if will sell back part  of property only.   ","1/26/1999"
155,23,"Homeowner only wants to do land  exchange.  Do not want to sell part of property.    No sale/exchange happening at this time.   Project  cancelled for now.   ","12/7/1999"
156,23,"Met with Beneficiaries of  estate and lawyer Oct 17/00.  Vercheres still  interested in land exchange but may sell the whole  property.   ","11/2/2000"
157,23,"Project held up in 2001 for CSC  to undertake public consultation and obtain Funds   from Ottawa.  Property was bought  in March 2002  for $435,000 ","4/12/2002"
158,24,"Report being prepared.    ","9/27/1996"
161,24,"Purchase completed - Joe Gormley to complete appraisal   ","5/8/1997"
163,24,"Report sent to client. Proceed with purchase    ","2/13/1997"
164,24,"Sect.16(3) Delegation rcvd.    ","3/3/1997"
166,25,"Preliminary site investigation  ongoing. SSA via Tom Dunphy to RCMP.    ","10/15/1996"
167,25,"SSA for 97/98 required.  Offer to Sell  form provided to BC Hydro.    ","5/29/1997"
168,25,"Valuation received with range of value  from $231,000 to $462,000 for BC Hydro property.   RCMP agreeable to offer price of $250,000 subject  to rezoning and soil conditions.    ","6/2/1997"
169,25,"Offer accepted subject to zoning &  soil cond.  Zoning application sent to Prince  George.    ","6/16/1997"
170,25,"Subjects to sale removed.    ","10/3/1997"
171,25,"Purchase completed. ","11/18/1997"
178,26,"TC has decided to cancel this project and let the City  of Cranbrook pursue the licensing of the hazard beacons on their  own when the airport is transferred over to them  ****************************************	PROJECT CLOSED","3/7/1997"
181,26,"Project Cancelled","5/1/1998"
182,27,"title to lots have been raised - project   complete except for DOJ registry invoice.    ","5/6/1997"
183,27,"Titles raised for Lots 7,8 and 9 Title  needed to be raised for lots at this site    ","2/26/1998"
186,28,"leaes has been assigned- info package at DOJ containing  facility details ie location for review to see if any thing else  needed for transfer -since docking facility on CN property lease  assignment may be enough to transfer to Metlakatla Ferry Service  ","3/11/1997"
187,28,"Package at DOJ for review.  ","3/18/1997"
189,28,"Project complete ","7/24/1997"
192,28,"DOJ determined no further document required to transfer  docking facility-  ***********************Project Complete**********************    ","5/9/1997"
198,29,"SSA to RCMP.     ","2/10/1997"
199,29,"Total purchase price $134,000 for both. Closing dates  ","2/18/1997"
200,29,"Project completed.    ","3/31/1997"
202,30,"Project assigned to A.J.H. - Status  currently being reviewed.    ","2/24/1997"
203,30,"Letter of update sent to Harpreet re  stat us survey plan.  Await receipt of S.G.  certification - should have by end onext week.    ","2/28/1997"
204,30,"Awaiting copy of  approval/certification from S.G. Office for  Survey plan.    ","3/10/1997"
205,30,"Survey confirmed by S.G. Office, copy   of survey plan forwarded to SCHB. End of fy 96/97  funds.    ","3/14/1997"
206,30,"Survey plan approved by Surveyor  General's office and forwarded to BC Lands  requesting issuance of OiC.    ","4/14/1997"
207,30,"Processing of Provincial Order in  Council requested from B.C. Lands. Awaiting  receipt.    ","4/24/1997"
208,30,"Survey plan confirmed. Section 12 map   reserve established. Awaiting Order in Council  from Province.    ","4/1/1998"
209,30,"Awaiting issuance of Provincial Order   in Council document from BC Lands.    ","7/3/1998"
210,30,"BC Lands will review file in 1999.  Surveyed area is under 5 year map reserve expiring  ","12/11/1998"
211,30,"Follow up letter sent to BC Lands  requesting status of TAC application.    ","11/11/1998"
213,30,"Follow up letter sent to BC Lands  requesting status of TAC application (22/12/98).  Awaiting response.     ","2/2/1999"
214,30,"Continue to monitor status of file  with BCAL.    ","7/5/1999"
215,30,"Letter sent to BCAL requesting a  response to our letter dated December 22,  1998. ","8/9/1999"
216,30,"Phone call made to Alec  Drysdale requesting an update on our TAC  application   ","9/29/1999"
217,30,"Follow up phone call made to  Alec Drysdale requesting an update on our TAC  application.  No response to date.   ","11/25/1999"
218,30,"Follow up letter sent to BCALC  requesting brief status update on our TAC  application.   ","11/26/1999"
219,30,"Letter rec'd from BCALC advising  corporate priorities and commitments are  preventing their ability to deal with our TAC at  this time.   ","1/7/2000"
220,30,"BCALC advised they are not in a  position to deal with our TAC at this time.   ","3/6/2000"
221,30,"BCALC advised  by their letter  ","9/5/2000"
222,30,"Letter sent to BCALC  requesting an update on this file.   ","12/13/2000"
223,30,"Funding from 699200.  Letter  sent to BCALC requesting an update on this file.   ","10/3/2000"
224,30,"Funding from 699200.  Letter  received from BCAL Surrey office advising TAC's  are low priority - copied to SCHB.   ","10/11/2000"
225,30,"BCAL have advised policy issues  need to be resolved prior to dealing with TAC.  (Letter of Dec. 20, 2000).   ","4/2/2001"
226,30,"No further progress with this  file.   ","8/7/2001"
227,30,"Request sent to BCAL for status  update.   ","10/23/2001"
228,30,"No response to date.   ","11/23/2001"
229,30,"Awaiting response from Val  Lowther, BCALC as to status of this file.   ","4/8/2002"
230,30,"Letter sent to Val Lowther requesting a status update on this file.   ","6/13/2002"
231,30,"See LAWBC letter August 9/02 to PWGSC - TAC's not being accepted pending notification by LAWBC. ","8/13/2002"
232,32,"Project assigned to AJH.  Reviewing  file for status.    ","2/26/1997"
233,32,"Copy of PTAC sent to SCH - they to  undertake CEAA requirements.  Checking on status  with B.C. Lands as to TAC application.    ","3/10/1997"
234,32,"Ongoing liaison with BCL re status.   They will be responding to my letter of March 7,  1997 shortly.    ","3/11/1997"
236,32,"Awaiting response from B.C. Lands re  my letter of March 7, 1997 as to status of our  application.    ","3/14/1997"
237,32,"Project cancelled per SCHB  instructions.  Amended SSA to return monies to  SCHB in the amount of $1,842.    ","12/15/1998"
238,32,"Project now inactive - FY 98/99.     ","1/19/1999"
239,32,"Discuss strategy with regard to  Squamish Yacht Club.  Proceed accordingly.    ","6/28/1999"
240,32,"Dave advised we should amend survey to  delete part of res. in order that S.Y.C. may apply  to Prov for tenure. Contact Bill McEnnery (SHA)  for info.   ","7/5/1999"
241,32,"Need to make contact with Bill  McEnnery - Squamish Harbour Authority.   ","11/26/1999"
242,32,"   ","8/30/2000"
243,32,"Awaiting strategy - discuss  with Area Chief.   ","9/5/2000"
244,32,"Discussed with Dave - proceed to  make contact with Province/SYC re boat grid area.   ","10/4/2000"
245,32,"Leter to BCAL requesting update  on status with brief summary as to our position.   ","10/16/2000"
246,32,"Letter received from Province  indicating new TAC 's will not be issued until  policy issues with federal government have been  resolved.     ","1/9/2001"
247,32,"Letter received from Province  (December 22/00) indicating that a new TAC will  not be issued until policy issues with fed. govt  have been resolved.   ","1/9/2001"
248,32,"BCAL have advised policy issues  need to be resolved prior to dealing with TAC.  (Letter of Dec. 20, 2000).   ","4/2/2001"
249,32,"No further progress with this  file.   ","8/7/2001"
250,32,"Request sent to BCAL for status  update.   ","10/23/2001"
251,32,"No response to date.   ","11/23/2001"
252,32,"Awaiting response from Val  Lowther, BCALC as to status of this file.   ","4/8/2002"
253,32,"Letter sent to Val Lowther requesting a status update on this file.   ","6/13/2002"
254,32,"See LAWBC letter August 9/02 to PWGSC - TAC's not being accepted pending notification by LAWBC. ","8/13/2002"
255,33,"Cheque for $250 (Application fees)  sent to Mitch for submission to S.G. Office.     ","4/7/1999"
256,33,"Monitoring status of application with   S.G. Office. Awaiting to hear back from Surveyor.   ","6/28/1999"
257,33,"Contacted Surveyor - cheque for   S.G. not enough due to increase in appl. fees  -  He will resubmit the appl. by month end and return  cheque to Wally.   ","8/18/1999"
258,33,"Awaiting contact from Surveyor  re status of application.   ","11/25/1999"
259,33,"Awaiting contact from Surveyor   re status of application. Project being monitored.    ","12/2/1999"
260,33,"Wally contacted Mitch re status  of application.  Mitch advised the application  will be submitted shortly but backlog has delayed   progress.   ","1/12/2000"
261,33,"Surveyor has been in contact with   S.G. Office as to status.  Awaiting response.   ","3/6/2000"
262,33,"NO ACTIVE SSA. Surveyor has  been in contact with S.G. Office as to status.   Awaiting response.   ","9/5/2000"
263,33,"Funding from project 699200.  Surveyor has been in contact with S.G. Office as  to status.  Awaiting response.   ","10/4/2000"
264,33,"FuMitch has advised that  application with Province is to be completed very   soon.   ","12/6/2000"
265,33,"Awaiting confirmation that S.G.  Office has accepted survey plan.   ","4/2/2001"
266,33,"No further progress with this  file.   ","8/7/2001"
267,33,"Email sent to Surveyor  (Tunbridge & Tunbridge) requesting a status  update.  Still no response.   ","10/23/2001"
268,33,"Surveyor has confirmed that  changes to boundaries had to be made so  application has been resubmitted to S.G. Office.    Should be completed by end of Dec.   ","11/8/2001"
269,33,"Surveyor has confirmed that  changes to boundaries had to be made so  application is being resubmitted to S.G. Office.   ","4/11/2002"
270,33,"Awaiting confirmation from S.G. Office that survey has been confirmed. ","8/8/2002"
271,34,"Ongoing discussions with CN- SCHB at this time  identifying negative aspects of CN's proposed License Agreement    ","6/20/1997"
272,34,"Draft of easement agreement prepared as instructed by  SCHB-at DOJ for review at this time      ","7/24/1997"
273,34,"DOJ requested meeting with SCHB to identify legal  issues-awaiting response    ","9/30/1997"
274,34,"Letter from DOJ advising us that file has been put on  hold by SCHB until they can re-assess their position    ","10/7/1997"
275,34,"File has been put on hold until further notice    ","10/29/1997"
276,34,"File in abeyance    ","1/23/1998"
277,34,"File in abeyance pending further instructions from SCHB. No active SSA this year.    ","10/26/1998"
278,34,"File closed    ","5/31/1999"
279,34,"file closed ","5/31/1999"
295,35,"Application at BC Lands    ","5/7/1999"
296,35,"Application at BC Lands -  correspondence from them states no chnge in  status; set aside indefinitely by their  office ","6/23/1999"
297,35,"Second letter written  requesting status of file-awaiting response    ","6/20/1997"
298,35,"Third letter writtento Bc lands  requesting project status    ","8/21/1997"
299,35,"BC Lands have informed us that due to   staff shortages there is a 6 to 12 months backlog   of work    ","8/21/1997"
300,35,"BC Lands response states 24 month  delay in processing TACs  ","8/17/1998"
301,35,"waiting for instruction from SCHB on  whether or not to proceed with OIC reserve  application as an interim measure until such time   that BC Lands will process TAC's    ","10/14/1998"
302,35,"Need instruction on whether to proceed  with OIC reserve application    ","11/25/1998"
303,35,"SCHB have instructed PWGSC to put this  on hold temporarily    ","2/2/1999"
304,35,"Waiting for SCHB instructions on  whether or not to proceed with project ","2/2/1999"
305,35,"ABC Lands correspondence, Oct/99,  states  application on hold at this time   ","1/13/2000"
306,35,"BC Lands correspondence, Oct/99,    states application on hold at this time   ","3/6/2000"
307,35,"BC Lands contacted  March/00 for   update on project - last updates stated BC Lands  have federal TAC's set aside indefinitely   ","3/13/2000"
308,35,"Project funded from 699200. BC  Lands contacted  March/00 for update on project -   last updates stated BC Lands have federal TAC's  set aside indefinitely   ","10/4/2000"
309,35,"Latest update stated BCAL have set  federal TAC's aside indefinitely.   ","4/2/2001"
310,35,"Followup to be done with  Province semi-annually.   ","11/19/2001"
311,35,"Acknowledge receipt of Whaler   Bay extension to Lot 254.   ","11/28/2001"
312,35,"Followup done with Province  2002-05-08 on TAC application.   ","5/8/2002"
313,35,"Fax to SCH to determine requirements re current plan on DL 254 ","5/15/2002"
314,36,"letterfrom BC Lands- application for TAC  approved- will now find a surveyor to do the survey as per BC  Lands requirements    ","3/7/1997"
315,36,"BC Lands has approved application, survey being  arranged-surveyor to apply for survey instructions from Province.    ","3/14/1997"
316,36,"Survey instructions requested-contract for survey let.    ","5/6/1997"
317,36,"Awaiting word from surveyor that survey and plan are  finished(survey was planned for June)    ","6/20/1997"
318,36,"Survey has been completed-plan being drafted and will  be sent to the SG for confirmation-waiting for preliminary print  from surveyor         ","7/2/1997"
319,36,"Survey plan has been sent to Surveyor General for  confirmation    ","9/30/1997"
320,36,"Survey palns still at SG's for confirmation    ","10/29/1997"
322,36,"No change - plan is at SG's for confirmation.    ","12/2/1997"
323,36,"Plan confirmed - waiting for Provincial OIC    ","1/23/1998"
324,36,"Jim Mac Gregor of bc lands is processing OIC    ","8/14/1998"
325,36,"waiting for OIC from Province    ","10/14/1998"
326,36,"OIC received and DOJ is drafting accepting letter.    ","11/25/1998"
327,36,"DOJ is conducting a Crown Land search and preparing accepting letter for the Provincial OIC    ","2/2/1999"
328,36,"transfer complete ","4/14/1999"
345,37,"Sale completed.  Closing documents sent to client. ","6/13/1997"
350,38,"BC Lands is processing map reserve.    ","3/21/1997"
351,38,"Letter from BC Lands 970605 -  Application is in review process - they expect to   take 18 mos. to process.    ","6/12/1997"
352,38,"Letter from BC Lands 970605 - App. is   in review process -(could take 18 mos); Sketches  sent to K. Anderson July 97.    ","7/23/1997"
353,38,"Letter from BC Lands 970605 - App. is   in review process -(could take 18 mos); Sketches  sent to K. Anderson July 97    ","8/19/1997"
354,38,"Letter from BC Lands 970605 - App. is   in review process -(could take 18 mos); Sketches  sent to K  Anderson July 97    ","9/25/1997"
355,38,"Letter from BC Lands 970605 - App. is   in review process -(could take 18 mos); Sketches  sent to K  Anderson July 97.    ","10/17/1997"
356,38,"Letter from BC Lands 970605 - App is  in review process -(could take 18 mos); Sketches  sent to K  Anderson July 97.    ","11/17/1997"
357,38,"Letter from BC Lands 970605 - App is  in review process -(could take 18 mos); Sketches  sent to K  Anderson July 97    ","1/6/1998"
358,38,"Letter from BC Lands 970605 - App is  in review process -(could take 18 mos); Sketches  sent to K  Anderson July 97.    ","1/21/1998"
359,38,"Follow up letter 98-08-31 to SCH.   Would they like us to follow up with BC Lands on  tenure application?    ","8/31/1998"
360,38,"SCH would like us to follow up on the   Reserve application.    ","9/28/1998"
361,38,"K. Anderson has indicated that  application has been recommended and will be  processed shortly.    ","10/8/1998"
363,38,"Notation of Interest established on  ","10/22/1998"
365,38,"Notation of Interest established on  ","10/6/1998"
366,38,"Will follow up with BC Assets - need  tenure for longer period of time.  Awaiting info.   from Levi Timmermans ?     ","10/6/1999"
368,38,"Workplan for 1999/2000 completed April  30/99.    ","4/30/1999"
369,38,"Province states that because work is  completed they are not prepared to enter into a  Reserve.    ","5/28/1999"
370,38,"Prov. states that because work is  complete they are not prepared to enter into a  Reserve. Follow up done June 99.  No reply.   ","6/28/1999"
371,38,"Followup done with Prov. on  ","9/22/1999"
372,38,"No reply from Province from  ","9/15/1999"
373,38,"Follow up done with the  Province December 1,99 for Section 12 Map Reserve.   (No reply to previous letter.)   ","9/15/1999"
374,38,"FolNo current year SSA.   Follow up done last fiscal year on Section 12 Map   Reserve.  No replay from Province.   ","9/5/2000"
375,38,"Project will continue to be  monitored quarterly.  Funding will be obtained  from Project 699200.   ","10/10/2000"
376,38,"Follow up done with Province  ","11/2/2000"
377,38,"Follow up done with Province  ","11/19/2001"
378,38,"Follow up done with Province","1/8/2002"
381,39,"BC Lands confirmed that commercial  operation (McMillan) is outstanding issue.    ","3/21/1997"
382,39,"Province advised 970602 for us to put   proposal forward re: temporary transfer to the  Province and a revenue waiver (McMillan)    ","6/6/1997"
384,39,"Province advised 970602 for us to put   proposal forward re: temporary transfer to the  Province and a revenue waiver (McMillan)    ","7/28/1997"
385,39,"Province advised 970602 for us to put   proposal forward re: temporary transfer to the  Province and a revenue waiver  (McMillan)    ","8/19/1997"
386,39,"Province advised 970602 for us to put   proposal forward re: temporary transfer to the  Province and a revenue waiver. (McMillan)    ","9/25/1997"
387,39,"Province advised 970602 for us to put   proposal forward re: temporary transfer to the  Province and a revenue waiver. (McMillan)  Letter   to B. Dane 970929.    ","10/17/1997"
388,39,"Province advised 970602 for us to put   proposal forward re: temporary transfer to the  Province and a revenue waiver.  Hold off per H.  Gill (Nov. 97).    ","11/17/1997"
389,39,"Province advised 970602 for us to put   proposal forward re: temporary transfer to the  Province and a revenue waiver.  Hold off per H.  Gill (Nov. 97)    ","1/6/1998"
390,39,"Province advised 970602 for us to put   proposal forward re: temporary transfer to the  Province and a revenue waiver.  Hold off per H.  Gill (Nov. 97).    ","1/21/1998"
391,39,"Letter sent to SCH re current  requirements of project.    ","8/31/1998"
392,39,"Letter sent to SCH 98-08-31 re  confirmation of current requirements of project.    ","8/31/1998"
393,39,"Letter sent to BC Lands 98-09-22 with   proposal re TAC and McMillan barge/float.    ","9/21/1998"
394,39,"Letter received from Province stating   that this is a low priority.    ","11/6/1998"
395,39,"Letter received from Province stating   that this is a low priority.  Forwareded to SCH.    ","11/24/1998"
396,39,"Letter received from Province 98-10-27  stating that it is a low priority.  Forwarded to  SCH.    ","12/9/1998"
397,39,"Follow up done with BC Assets Jan.  13/99 - we understand their position but we must  ensure our file is still in system.     ","1/13/1999"
398,39,"Workplan for 1999/2000 completed on  ","4/30/1999"
399,39,"Province not willing to process TAC  until federal/provincial agreement is reached.    ","4/30/1999"
400,39,"Province not willing to process TAC.    New plant would like to be relocated to area where  MacBlo. was located.   ","6/28/1999"
401,39,"SCHB don't want TAC with  deleted area.  SCH would like revenue from new  source. Monitor minimally per SCHB.   ","12/2/1999"
402,39,"SCHB don't want TAC with  deleted area.  Monitor project minimally per SCHB.   No current year SSA   ","9/5/2000"
403,39,"SCHB don't want TAC with  deleted area.  Monitor project minimally per SCHB.   Use project 699200 for funding  ","10/10/2000"
404,39,"SCHB don't want TAC with  deleted area.  Monitor project minimally per SCHB.   Follow up done November 2001   ","11/19/2001"
405,39,"SRequest to SCHB on if they require TAC over DL2108 (with exception of area by occupied by McMillan - deleted area) ","1/8/2002"
406,40,"AWAITING INTERPRETATION OF CUSTODY TRANSFER DEFINITION  FROM PWGSC-HQ.  ","3/20/1997"
407,40,"Project on hold until Fall 1997 at request of SCHB.      ","5/28/1997"
415,40,"SCHB requested no action until Fall of 1997. Not active file, no SSA.","6/27/1997"
416,41,"DRAFT SUBMISSION EXPECTED BY 31 MARCH 1997.  ","3/20/1997"
418,41,"Detailed workplan prepared based on requested  information being available.  ","5/5/1997"
419,41,"Telecon with G. Lacey advising that he wants to sit  down with H.A. to discuss.  H. Gill to set up meeting while he is  away.  ","5/8/1997"
420,41,"SCHB reduced SSA (exludes appraisal estm of $4000.)  after originally executed.  ","5/16/1997"
421,41,"Met with Harbour Authority and SCHB on 17 June to  clarify background for submission.  Draft submission pending.  ","6/26/1997"
422,41,"Blake E. provided clarification on relocation of 2 floats and access changes vis-a-vis the one-time contributions to  be paid by Riversong.  ","7/3/1997"
423,41,"Telecon with G. Lacey to clarify details of proposed  lease but referred me back to SCHB (Blake).  Gary believed a  2-party lease with assignment (not 3-party) was to be required by  Bill Webb (Ottawa lawyer).  ","7/10/1997"
424,41,"Blake advised 3-party lease only document they have  discussed with Riversong.  Nothing else available.  He faxed  portions of survey plans showing easement and consolidation of  properties.  ","7/16/1997"
425,41,"Sent to G. Lacey by fax and original by mail -- draft  TB submission and revised background chronology.  ","7/21/1997"
426,41,"H. Gill requested copy of 1994 appraisal relating to  Riversong's interest in Bayview properties.  She insisted request  was urgent and would pay for courier pick up when ready.  Copy  required by G. Lacey who was away last week ill and this week on  holi","7/22/1997"
427,41,"Copy of 1994 appraisal left for H. Gill pick up.    ","7/23/1997"
428,41,"SHA (Blake) and G.Lacey provided additional information. Draft TB subm. to G.Lacey 21 July 97 for review and instructions.    ","7/24/1997"
429,41,"Draft TB subm. to G.Lacey 21 July 97. Awaiting review and instructions.    ","8/20/1997"
430,41,"G.Lacey advised that draft has been sent to F&O-HQ.    ","9/30/1997"
431,41,"Awaiting instructions from G. Lacey.    ","10/29/1997"
432,41,"Awaiting results of G. Lacey's HQ meetings and further instructions.    ","12/2/1997"
433,41,"Project to be closed at request of SCHB.    ","2/2/1998"
436,41,"Requested additional information and clarification of  inconsistencies from G. Lacey by letter.  ","3/26/1997"
454,42,"CONTINUED FOLLOW UP ON FINAL LOCATION   OF NEW SPIT ROAD.    ","3/20/1997"
457,42,"CONTINUING LIAISON WITH SPIT ROAD  RELOCATION.    ","3/21/1997"
458,42,"Continuing liaison to confirm Spit  Road relocation.    ","3/21/1997"
460,42,"Per instructions from B.Dane awaiting   cost foMcElhanney concepts.    ","6/26/1997"
461,42,"Awaiting instructions from B.Dane  concerninMcElhanney's proposal on conceptual  options.    ","6/26/1997"
462,42,"At monthly meeting of 3 July 97,  B.Dane okayed full TOR from McElhanney and asked   H. Gill to process the amended SSA left with her   (total $10,760.)    ","7/3/1997"
463,42,"Request for Contract (McElhanney)  after discussing schedule with R. Irish.   Earliest start date of 11 Aug.97 and completion  by 15 Oct. 97.  Advised B. Dane of schedule and he  acknowledged delay due to holidays.    ","7/15/1997"
464,42,"B.Dane approved McElhanney's TOR.  Contract requested (start date 11 Aug.97).    ","7/24/1997"
466,42,"McElhanney contract commenced 11  ","8/20/1997"
467,42,"McElhanney preliminary concepts  anticipated week of Oct.97.    ","8/30/1997"
468,42,"Concepts (3) were faxed to B.Dane for   review.B.Dane advised that Option 1 preferred if   radius increased at parking lot entrance.  Also  requested additional option to be prepared.   Scope of work for contract to be amended along  witcompletion date.  ","10/22/1997"
469,42,"B.Dane reviewed concepts and requested  additional option to be prepared. Contract to be  amended for scope and completion date.    ","10/29/1997"
