"intProjectID","intProjectNo","strDescription","strLegal","strFileNo","datStartDate","datComplDate","bolCancelled","curSSAFees","curSSADisbursements","curPrice","curExpToDate","strAgentFirstName","strAgentLastName","strLocation","strProvAbrev","strDeptAbrev","strClientContactFirst","strClientContactLast","strRollNumber","strProjRefNo","strLDU","strPACNo","strSMANo","datReportOfSurplus","strDisposalMethod","strPropertyType","strPurchaserType","strInterestSold"
169,766586,"NICOMEN ISLAND - END MACDONALD RD - PT NE 1/4 0.89HA","","9075-N61/1",8/17/1988,,0,.0000,.0000,.0000,.0000,"LOUISE","ST. PETERS","CHILLIWACK","BC","PWGSC","","","","","16631","50","766571",8/17/1988,"&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;","Vacant Land","CLC","Fee Simple"
170,834136,"NICOMEN ISLAND - ZAITCULLACHEN SLOUGH DAM, PT SE 1/4","","9075-N61/2",8/17/1988,5/18/1995,0,.0000,.0000,.0000,.0000,"TINA","IRELAND","CHILLIWACK","BC","PWGSC","","","","","16630","0","0",8/17/1988,"&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;","Vacant Land","Municipality","Fee Simple"
171,765834,"FIVE RESIDENTIAL LOTS (0.28 HA)","LOTS 6,7,22,23,24, BLK.6, D.L.15, Q.C.D., PLAN 934A","9075-Q2/20",2/21/1989,7/6/1995,0,.0000,.0000,.0000,.0000,"DENISE","SCHEPENS","QUEEN CHARLOTTE CITY","BC","DFO","","","","","","0","0",2/21/1989,"Tender","Vacant Land","Private Sector","Fee Simple"
172,765855,"ROAD WIDENING - RICHMOND DND ARMOURY & F&O (FORMER TC) PROPERTY","","9075-R3/51",11/28/1985,,0,.0000,.0000,.0000,.0000,"MONA","LEE","RICHMOND","BC","DND","","","","","0","0","766542",11/28/1985,"&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;","Vacant Land","Municipality","Fee Simple"
173,765887,"TRANSFER 3 PARCELS TO PROV. FOR ROAD (1.2) HA","","9075-S14/28",2/3/1987,12/2/1994,0,.0000,.0000,.0000,.0000,"DENISE","SCHEPENS","SMITHERS","BC","TC","","","","","","0","0",2/3/1987,"&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;","Vacant Land","Province","&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;"
174,765856,"ROAD WIDENING HWY #97 VARIOUS LOTS - RESEARCH STATION","","9075-S22/13",9/24/1986,4/27/1998,0,.0000,.0000,.0000,.0000,"WAYNE","MCLAUGHLIN","SUMMERLAND","BC","AGR","","","","","0","0","766554",9/24/1986,"&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;","Vacant Land","Province","Fee Simple"
175,834141,"LAND EXCHANGE - PWC/DIST. OF SURREY","","9075-S23/32",1/31/1985,8/17/1994,1,.0000,.0000,.0000,.0000,"TINA","IRELAND","SURREY","BC","PWGSC","","","","","0","0","0",1/31/1985,"&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;","Vacant Land","Municipality","Fee Simple"
176,829112,"FEDERAL BUILDING - 5527 ISLAND HWY","","9075-U2/1",11/10/1988,8/24/1993,0,.0000,.0000,.0000,.0000,"JOE","GORMLEY","UNION BAY","BC","PWGSC","","","","","","0","0",11/10/1988,"&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;","Improved","Municipality","Fee Simple"
177,765835,"1.242 HA VACANT LAND - PEAR SHAPED PARCEL","","9075-V6/31",8/20/1987,1/20/1997,1,.0000,.0000,.0000,.0000,"JOE","GORMLEY","VERNON","BC","DND","","","","","0","0","766566",8/20/1987,"&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;","Vacant Land","CLC","Fee Simple"
178,765857,"VICTORIA A/P - ROAD R/W TO TOWN OF SIDNEY","","9075-V7/36-39",3/17/1987,8/17/1994,1,.0000,.0000,.0000,.0000,"TINA","IRELAND","SIDNEY","BC","TC","","","","","0","0","0",3/17/1987,"&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;","Vacant Land","Municipality","Fee Simple"
179,765888,"WHARF SITE ADJOINING LOT #3","PART OF RGE.3,COAST DIST. SHOWN AS WHARF SITE ADJ.D.L.3 ON PL.DD55134I","9075-B4/22",12/2/1987,5/15/1995,0,.0000,.0000,.0000,.0000,"DENISE","SCHEPENS","BELLA COOLA","BC","TC","","","","","","0","0",11/25/1987,"Retrocession to Province","Vacant Land","Province","&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;"
180,765831,"ELK LAKE WATERLINE - PROPOSED TRANSFER TO CAPITAL REGIONAL DISTRICT","","9075-V7/36-18",7/27/1989,1/5/1994,0,.0000,.0000,.0000,.0000,"JOE","GORMLEY","NORTH SAANICH","BC","TC","","","","","0","0","0",7/27/1989,"&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;","Vacant Land","Municipality","Fee Simple"
181,765045,"WATERLOT 15872 - MARINE FACILITIES - RAMP, LOG FLOAT AND LOG B/WATER","","9050-K45/4",10/4/1989,3/17/1994,0,.0000,.0000,.0000,.0000,"THERESA","LIAO","KOOTENAY BAY","BC","DFO-SCH","","","","","","0","0",10/4/1989,"Retrocession to Province","&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;","Province","&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;"
182,769598,"GONZALES OBS. (WEATHER STATION)  -  SALE TO CAP. REG. DISTRICT","","9075-V7/148",11/16/1989,1/4/1994,0,.0000,.0000,.0000,.0000,"MARGOT","MACFADYEN","VICTORIA","BC","EC","","","","","0","0","0",11/16/1989,"&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;","&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;","Province","Fee Simple"
183,765056,"FOUR (BARN-TYPE) BUILDINGS AT EXPERIMENTAL FARM","","9070-P16/92",12/1/1989,8/17/1994,1,.0000,.0000,.0000,.0000,"TINA","IRELAND","PRINCE GEORGE","BC","AGR","","","","","","0","0",12/1/1989,"Tender","&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;","CLC","Building Only"
184,765848,"GANGES HARBOUR - PORTION OF WATERLOT #474 (7.74 AC)","","9050-S28/4",10/10/1989,12/31/1996,0,.0000,.0000,.0000,.0000,"WAYNE","MCLAUGHLIN","SALT SPRING ISLAND","BC","DFO-SCH","","","","","0","0","766546",10/10/1989,"Retrocession to Province","Vacant Land","Province","&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;"
185,765032,"MIDDLE MARKER SITE AND RIGHT OF WAY - PROPOSED RETROCESSION","","9075-P16/93",1/16/1990,2/16/1993,0,.0000,.0000,.0000,.0000,"MARGOT","MACFADYEN","PRINCE GEORGE","BC","TC","","","","","0","0","0",1/16/1990,"Retrocession to Province","Improved","Province","&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;"
186,765040,"54.97 HECTARE PARCEL VACANT LAND - YAHK AERODROME","","9075-Y7/1",2/5/1990,8/24/1993,0,.0000,.0000,.0000,.0000,"JOE","GORMLEY","YAHK","BC","TC","","","","","0","0","0",2/1/1990,"Tender","Improved","Private Sector","Fee Simple"
187,0,"DUPLEX, 3-BAY GARAGE (NO LAND)","LOTS  1-6, 26 & 27, BLOCK 5, MAYO, YUKON, PLAN 21592","9070-M8/12",2/5/1990,8/23/1996,0,.0000,.0000,.0000,.0000,"DENISE","SCHEPENS","MAYO","YT","TC","","","","","0","65","0",2/5/1990,"&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;","&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;","Private Sector","Building Only"
188,765836,"10,054 SQUARE METRES - SALE OF AIRPORT LAND TO KAMLOOPS GOLF CLUB","","9075-K1/87",3/19/1990,3/28/1995,0,.0000,.0000,.0000,.0000,"TINA","IRELAND","KAMLOOPS","BC","TC","","","","","","0","0",3/15/1990,"&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;","Vacant Land","Private Sector","Fee Simple"
189,765849,"PARAMOUNT SITE - TRIPLE 'R' PROPOSED LAND EXCHANGE.","","9075-S20/39",5/10/1990,10/30/1903,0,.0000,.0000,.0000,.0000,"MONA","LEE","RICHMOND","BC","DFO-SCH","","","","","0","0","766553",5/10/1990,"&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;","Vacant Land","Municipality","Fee Simple"
190,834137,"DISPOSAL OF WATER SUPPLY SYSTEM","","9075-K6/6",6/1/1990,4/18/1996,1,.0000,.0000,.0000,.0000,"STEVEN","JUNG","KINGSGATE","BC","PWGSC","","","","","0","0","0",6/1/1990,"&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;","Vacant Land","Private Sector","Other"
191,765858,"MARINE REPAIR FACILITY - 18TH AND 20TH STREETS - PAC225","Parcel 'A' (Expln. Plan 8043) Lot 2, Suburban Block 9, Plan 2620","9075-N8/58",8/1/1990,,0,.0000,.0000,.0000,.0000,"TRACY","WAN","NEW WESTMINSTER","BC","DFO","","","","","17012","225","847207",8/1/1990,"&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;","&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;","OGD","Fee Simple"
192,765053,"BUILDINGS ON PROVINCIAL RESERVE LAND - HALIFAX CAMP RESERVE","","9050-B60/5",8/1/1990,5/6/1994,0,.0000,.0000,.0000,.0000,"MARGOT","MACFADYEN","BABINE LAKE","BC","DFO","","","","","","0","0",8/1/1990,"&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;","&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;","Private Sector","Building Only"
193,765837,"MARINE TECHNOLOGY CENTRE - PAT BAY","","9075-N40/2",8/29/1990,3/31/1994,0,.0000,.0000,.0000,.0000,"JOE","GORMLEY","NORTH SAANICH","BC","DFO","","","","","0","0","0",8/29/1990,"&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;","Vacant Land","Province","Fee Simple"
